"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf","expression","expression_bonf"
"LOC110052878",0.744165568293149,2.53157187995853,2.34127860974197,0.125986107053046,0.444956235721048,1,"Stable","Stable"
"LOC110052879",0.117807317925123,4.95811975135116,0.126651185375074,0.721929791366684,0.894080891942935,1,"Stable","Stable"
"LOC110052708",-0.52421007705155,3.50679018565843,0.874451433973142,0.349725904138651,0.674746032280602,1,"Stable","Stable"
"LOC110052710",-2.35677558595323,0.628901597305999,7.09131796470184,0.00774582631390427,0.111830098305189,1,"Stable","Stable"
"LOC110052706",1.57618947741452,1.8867738145326,3.91932673767737,0.0477339931074965,0.294800930547467,1,"Stable","Stable"
"LOC110052707",-0.00472457973104501,3.81184915388213,0.000107978219627825,0.991709125770884,0.99669779528875,1,"Stable","Stable"
"LOC110052705",0.0678514633758738,4.40108590250239,0.0233090324836418,0.8786561861331,0.959176860365838,1,"Stable","Stable"
"LOC110052728",-1.38673796461754,0.107847098157986,2.46698442831542,0.116260787416423,0.431069440623375,1,"Stable","Stable"
"LOC110052823",-0.586840293362362,1.58021284516782,0.680852962721676,0.409293164164526,0.712839224357622,1,"Stable","Stable"
"LOC110052881",-0.520241672330509,4.73456817716116,1.05951066046564,0.303326818474808,0.637748175180196,1,"Stable","Stable"
"LOC110052755",-1.31932699870752,0.103099288599432,2.23194568001882,0.135183520185409,0.460305601821748,1,"Stable","Stable"
"LOC110052756",-0.141328871563415,5.18976505157964,0.197794221889851,0.656507208564977,0.861794285255137,1,"Stable","Stable"
"LOC110052737",0.214371028067912,1.31654725473085,0.102160525722454,0.749252163772375,0.90567908268534,1,"Stable","Stable"
"LOC110052722",-0.937962754707488,2.89243745932915,2.47633607712283,0.115571198022144,0.429873928833211,1,"Stable","Stable"
"LOC110052753",2.02297131419171,0.518761187554724,2.86593652709124,0.0904730348380471,0.392258953377509,1,"Stable","Stable"
"LOC110052904",1.52488633707229,0.696970055265603,1.08545085193503,0.297481355513724,0.63200348722174,1,"Stable","Stable"
"LOC110052905",-1.46976777197686,0.117269903833398,2.44062620208322,0.118229019978092,0.433784762804209,1,"Stable","Stable"
"LOC110052882",-1.08424002011518,0.459641877235036,1.03347557923943,0.309343749706353,0.643661342364987,1,"Stable","Stable"
"LOC110052883",1.1508586795889,0.161332240809996,1.24530886970722,0.26445035281473,0.600294442724785,1,"Stable","Stable"
"LOC110052751",-0.259486642167796,1.36473492690613,0.111753663538842,0.738156380155832,0.900523046584661,1,"Stable","Stable"
"LOC110052727",-0.412561894082178,7.663791651194,1.34848192899968,0.245543683423569,0.582101687619602,1,"Stable","Stable"
"LOC110052725",0.021494906313339,4.56303678193318,0.00422317878298628,0.948185155728694,0.983420195537096,1,"Stable","Stable"
"LOC110052726",0.375545363623602,3.76229526557836,0.508469548232029,0.475802128497901,0.75988493411277,1,"Stable","Stable"
"LOC110052944",0.398808466984997,1.56894644263278,0.334376004202788,0.56309362906304,0.81093600375128,1,"Stable","Stable"
"LOC110052950",0.538243724832304,1.75372237214312,0.797515861735342,0.371837125359457,0.685611983041838,1,"Stable","Stable"
"LOC110052884",0.464977124706635,3.35960357702528,0.734517446577531,0.391422815764338,0.699686350397134,1,"Stable","Stable"
"LOC110052712",1.63009648552158,1.95703164576927,4.75013478967488,0.0292959995626186,0.233246732862869,1,"Stable","Stable"
"LOC110052899",0.156969764547116,3.86560904328107,0.170431739904249,0.679728391509992,0.874378956598931,1,"Stable","Stable"
"LOC110052900",-0.216151907535129,1.91650195323004,0.0983023922763167,0.753876419280304,0.907509836761556,1,"Stable","Stable"
"LOC110052949",-0.191848719799329,1.96301723280864,0.0627966914916414,0.80212904135397,0.927425996754214,1,"Stable","Stable"
"LOC110052903",0.0638672386295624,2.89901748737582,0.0107679797744709,0.917352765879773,0.97131689311844,1,"Stable","Stable"
"LOC110052700",-0.471994128404487,2.43860141261819,0.85562460023262,0.354966019849793,0.678146268112426,1,"Stable","Stable"
"LOC110052885",-0.411175205932233,1.43002147555551,0.388098373162794,0.533300674904307,0.794642787521632,1,"Stable","Stable"
"LOC110052907",-1.62416075241847,5.55655385845306,10.9162668712223,0.000953235054945962,0.0278183978450691,1,"Down","Stable"
"LOC110052906",0.554129341644084,4.952876492877,2.18704031495589,0.139176523404048,0.466616501642433,1,"Stable","Stable"
